trade_id,trade_candidate_id,symbol,strategy,direction,open_time,close_time,volume,open_price,close_price,net_pnl,commission,swap
trend-ea-v1-GBPJPY_HIST-1515124800:2,trend-ea-v1-GBPJPY_HIST-1515124800,GBPJPY_HIST,BREAKOUT,BUY,2018-01-05 05:00:00+00:00,2018-01-08 12:19:35+00:00,0.14,153.034,153.034,96.0,0.0,96.0
trend-ea-v1-GBPJPY_HIST-1515430800:4,trend-ea-v1-GBPJPY_HIST-1515430800,GBPJPY_HIST,PULLBACK,BUY,2018-01-08 18:00:00+00:00,2018-01-09 03:37:41+00:00,0.12,153.436,153.136,-3517.0,0.0,83.0
trend-ea-v1-GBPJPY_HIST-1516633200:6,trend-ea-v1-GBPJPY_HIST-1516633200,GBPJPY_HIST,BREAKOUT,BUY,2018-01-22 16:00:00+00:00,2018-01-22 18:58:59+00:00,0.12,154.191,154.958,9204.0,0.0,0.0
trend-ea-v1-GBPJPY_HIST-1516856400:8,trend-ea-v1-GBPJPY_HIST-1516856400,GBPJPY_HIST,BREAKOUT,BUY,2018-01-25 06:00:00+00:00,2018-01-25 09:53:12+00:00,0.08,155.826,155.361,-3720.0,0.0,0.0
trend-ea-v1-GBPJPY_HIST-1517374800:10,trend-ea-v1-GBPJPY_HIST-1517374800,GBPJPY_HIST,BREAKOUT,BUY,2018-01-31 06:00:00+00:00,2018-01-31 11:40:11+00:00,0.08,154.387,153.943,-3552.0,0.0,0.0
trend-ea-v1-GBPJPY_HIST-1522900800:12,trend-ea-v1-GBPJPY_HIST-1522900800,GBPJPY_HIST,BREAKOUT,BUY,2018-04-05 05:00:00+00:00,2018-04-05 14:49:03+00:00,0.08,150.653,150.22,-3464.0,0.0,0.0
trend-ea-v1-GBPJPY_HIST-1528462800:14,trend-ea-v1-GBPJPY_HIST-1528462800,GBPJPY_HIST,BREAKOUT,SELL,2018-06-08 14:00:00+00:00,2018-06-08 15:17:35+00:00,0.09,146.279,146.707,-3852.0,0.0,0.0
trend-ea-v1-GBPJPY_HIST-1528714800:16,trend-ea-v1-GBPJPY_HIST-1528714800,GBPJPY_HIST,PULLBACK,SELL,2018-06-11 12:00:00+00:00,2018-06-12 02:00:06+00:00,0.08,146.974,147.391,-3554.0,0.0,-218.0
trend-ea-v1-GBPJPY_HIST-1529031600:18,trend-ea-v1-GBPJPY_HIST-1529031600,GBPJPY_HIST,BREAKOUT,SELL,2018-06-15 04:00:00+00:00,2018-06-15 08:38:46+00:00,0.08,146.487,146.95,-3704.0,0.0,0.0
trend-ea-v1-GBPJPY_HIST-1529913600:20,trend-ea-v1-GBPJPY_HIST-1529913600,GBPJPY_HIST,BREAKOUT,SELL,2018-06-25 09:00:00+00:00,2018-06-25 14:13:19+00:00,0.1,145.051,145.419,-3680.0,0.0,0.0
trend-ea-v1-GBPJPY_HIST-1530133200:22,trend-ea-v1-GBPJPY_HIST-1530133200,GBPJPY_HIST,BREAKOUT,SELL,2018-06-27 22:00:00+00:00,2018-06-28 20:00:00+00:00,0.07,144.679,144.5,1062.0,0.0,-191.0
trend-ea-v1-GBPJPY_HIST-1530543600:24,trend-ea-v1-GBPJPY_HIST-1530543600,GBPJPY_HIST,BREAKOUT,SELL,2018-07-02 16:00:00+00:00,2018-07-02 23:21:38+00:00,0.09,145.305,145.691,-3474.0,0.0,0.0
trend-ea-v1-GBPJPY_HIST-1531270800:26,trend-ea-v1-GBPJPY_HIST-1531270800,GBPJPY_HIST,PULLBACK,SELL,2018-07-11 02:00:00+00:00,2018-07-11 05:33:50+00:00,0.09,146.972,147.374,-3618.0,0.0,0.0
trend-ea-v1-GBPJPY_HIST-1531501200:28,trend-ea-v1-GBPJPY_HIST-1531501200,GBPJPY_HIST,PULLBACK,BUY,2018-07-13 18:00:00+00:00,2018-07-16 14:01:38+00:00,0.11,148.397,149.228,9217.0,0.0,76.0
trend-ea-v1-GBPJPY_HIST-1532664000:30,trend-ea-v1-GBPJPY_HIST-1532664000,GBPJPY_HIST,BREAKOUT,SELL,2018-07-27 05:00:00+00:00,2018-07-27 08:01:56+00:00,0.16,145.415,145.645,-3680.0,0.0,0.0
trend-ea-v1-GBPJPY_HIST-1533186000:32,trend-ea-v1-GBPJPY_HIST-1533186000,GBPJPY_HIST,PULLBACK,SELL,2018-08-02 06:00:00+00:00,2018-08-02 14:00:10+00:00,0.13,146.314,146.333,-247.0,0.0,0.0
trend-ea-v1-GBPJPY_HIST-1533549600:34,trend-ea-v1-GBPJPY_HIST-1533549600,GBPJPY_HIST,BREAKOUT,SELL,2018-08-06 11:00:00+00:00,2018-08-07 09:56:27+00:00,0.17,144.371,144.373,-497.0,0.0,-463.0
trend-ea-v1-GBPJPY_HIST-1533870000:36,trend-ea-v1-GBPJPY_HIST-1533870000,GBPJPY_HIST,BREAKOUT,SELL,2018-08-10 04:00:00+00:00,2018-08-10 10:13:02+00:00,0.13,142.292,141.562,9490.0,0.0,0.0
trend-ea-v1-GBPJPY_HIST-1536030000:38,trend-ea-v1-GBPJPY_HIST-1536030000,GBPJPY_HIST,BREAKOUT,SELL,2018-09-04 04:00:00+00:00,2018-09-04 09:05:25+00:00,0.15,142.835,143.083,-3720.0,0.0,0.0
trend-ea-v1-GBPJPY_HIST-1537354800:40,trend-ea-v1-GBPJPY_HIST-1537354800,GBPJPY_HIST,BREAKOUT,BUY,2018-09-19 12:00:00+00:00,2018-09-19 14:08:47+00:00,0.1,148.285,147.902,-3830.0,0.0,0.0
trend-ea-v1-GBPJPY_HIST-1537894800:42,trend-ea-v1-GBPJPY_HIST-1537894800,GBPJPY_HIST,BREAKOUT,BUY,2018-09-25 18:00:00+00:00,2018-09-26 22:00:00+00:00,0.1,148.567,148.769,2089.0,0.0,69.0
trend-ea-v1-GBPJPY_HIST-1538967600:44,trend-ea-v1-GBPJPY_HIST-1538967600,GBPJPY_HIST,BREAKOUT,BUY,2018-10-08 04:00:00+00:00,2018-10-08 09:33:08+00:00,0.09,149.354,148.942,-3708.0,0.0,0.0
trend-ea-v1-GBPJPY_HIST-1539162000:46,trend-ea-v1-GBPJPY_HIST-1539162000,GBPJPY_HIST,BREAKOUT,BUY,2018-10-10 10:00:00+00:00,2018-10-10 11:59:54+00:00,0.12,148.983,148.697,-3432.0,0.0,0.0
trend-ea-v1-GBPJPY_HIST-1540404000:48,trend-ea-v1-GBPJPY_HIST-1540404000,GBPJPY_HIST,BREAKOUT,SELL,2018-10-24 19:00:00+00:00,2018-10-25 23:11:10+00:00,0.08,145.204,144.073,8830.0,0.0,-218.0
trend-ea-v1-GBPJPY_HIST-1540530000:50,trend-ea-v1-GBPJPY_HIST-1540530000,GBPJPY_HIST,BREAKOUT,SELL,2018-10-26 06:00:00+00:00,2018-10-26 17:57:19+00:00,0.09,143.894,142.848,9414.0,0.0,0.0
trend-ea-v1-GBPJPY_HIST-1540573200:52,trend-ea-v1-GBPJPY_HIST-1540573200,GBPJPY_HIST,BREAKOUT,SELL,2018-10-26 18:00:00+00:00,2018-10-26 19:00:41+00:00,0.07,142.812,143.292,-3360.0,0.0,0.0
trend-ea-v1-GBPJPY_HIST-1541559600:54,trend-ea-v1-GBPJPY_HIST-1541559600,GBPJPY_HIST,BREAKOUT,BUY,2018-11-07 04:00:00+00:00,2018-11-07 09:50:22+00:00,0.09,148.716,148.338,-3402.0,0.0,0.0
trend-ea-v1-GBPJPY_HIST-1541653200:56,trend-ea-v1-GBPJPY_HIST-1541653200,GBPJPY_HIST,BREAKOUT,BUY,2018-11-08 06:00:00+00:00,2018-11-08 09:07:44+00:00,0.11,149.268,148.901,-4037.0,0.0,0.0
trend-ea-v1-GBPJPY_HIST-1541667600:58,trend-ea-v1-GBPJPY_HIST-1541667600,GBPJPY_HIST,BREAKOUT,BUY,2018-11-08 10:00:00+00:00,2018-11-08 11:39:25+00:00,0.13,149.367,149.088,-3627.0,0.0,0.0
trend-ea-v1-GBPJPY_HIST-1542812400:60,trend-ea-v1-GBPJPY_HIST-1542812400,GBPJPY_HIST,PULLBACK,SELL,2018-11-21 16:00:00+00:00,2018-11-21 17:04:14+00:00,0.1,144.415,144.783,-3680.0,0.0,0.0
